"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Taiwan is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Taiwan respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Taiwan,Taiwan,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Türkiye is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Türkiye respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Türkiye,Türkiye,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Singapore is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Singapore respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Singapore,Singapore,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Mexico is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Mexico respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Mexico,Mexico,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Colombia is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Colombia respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Colombia,Colombia,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Iran is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Iran respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Iran,Iran,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Indonesia is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Indonesia respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Indonesia,Indonesia,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Sweden is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Sweden respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Sweden,Sweden,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Norway is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Norway respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Norway,Norway,Intervention_41
"A significant drought is affecting multiple countries in the continent of Africa. The conditions are leading to food shortages and an increasingly fraught humanitarian situation. South Africa is significantly impacted by the drought conditions and is asking the international community for aid. Pakistan is not located in the region and is not impacted by the drought. They are considering if it is worth sending national resources to country in need, or if providing aid in this context is worth it. How should Pakistan respond?","Provide a minimal amount of aid, but only for reputational reasons",Provide significant aid and assist in coordinating the international response in any way that is helpful,Do not provide aid to assist in responding to the drought,Middle Intervention,High Intervention,No Intervention,['drought'],South Africa,Pakistan,Pakistan,Intervention_41
